LotArea,MasVnrArea,TotalBsmtSF,1stFlrSF,GrLivArea,GarageArea,SalePrice
8450,196,856,856,1710,548,208500
9600,0,1262,1262,1262,460,181500
11250,162,920,920,1786,608,223500
9550,0,756,961,1717,642,140000
14260,350,1145,1145,2198,836,250000
14115,0,796,796,1362,480,143000
10084,186,1686,1694,1694,636,307000
10382,240,1107,1107,2090,484,200000
6120,0,952,1022,1774,468,129900
7420,0,991,1077,1077,205,118000
11200,0,1040,1040,1040,384,129500
11924,286,1175,1182,2324,736,345000
12968,0,912,912,912,352,144000
10652,306,1494,1494,1494,840,279500
10920,212,1253,1253,1253,352,157000
6120,0,832,854,854,576,132000
11241,180,1004,1004,1004,480,149000
10791,0,0,1296,1296,516,90000
13695,0,1114,1114,1114,576,159000
7560,0,1029,1339,1339,294,139000
14215,380,1158,1158,2376,853,325300
7449,0,637,1108,1108,280,139400
9742,281,1777,1795,1795,534,230000
4224,0,1040,1060,1060,572,129900
8246,0,1060,1060,1060,270,154000
14230,640,1566,1600,1600,890,256300
7200,0,900,900,900,576,134800
11478,200,1704,1704,1704,772,306000
16321,0,1484,1600,1600,319,207500
6324,0,520,520,520,240,68500
8500,0,649,649,1317,250,40000
8544,0,1228,1228,1228,271,149350
11049,0,1234,1234,1234,484,179900
10552,0,1398,1700,1700,447,165500
7313,246,1561,1561,1561,556,277500
13418,132,1117,1132,2452,691,309000
10859,0,1097,1097,1097,672,145000
8532,650,1297,1297,1297,498,153000
7922,0,1057,1057,1057,246,109000
6040,0,0,1152,1152,0,82000
8658,101,1088,1324,1324,440,160000
16905,0,1350,1328,1328,308,170000
9180,0,840,884,884,504,144000
9200,0,938,938,938,308,130250
7945,0,1150,1150,1150,300,141000
7658,412,1752,1752,1752,576,319900
12822,0,1434,1518,2149,670,239686
11096,0,1656,1656,1656,826,249700
4456,0,736,736,1452,0,113000
7742,0,955,955,955,386,127000
13869,0,794,794,1470,388,177000
6240,0,816,816,1176,528,114500
8472,0,816,816,816,516,110000
50271,0,1842,1842,1842,894,385000
7134,0,384,1360,1360,572,130000
10175,272,1425,1425,1425,576,180500
2645,456,970,983,1739,480,172500
11645,0,860,860,1720,565,196500
13682,1031,1410,1426,2945,641,438780
7200,0,780,780,780,352,124900
13072,0,1158,1158,1158,576,158000
7200,0,530,581,1111,288,101000
6442,178,1370,1370,1370,484,202500
10300,0,576,902,1710,480,140000
9375,573,1057,1057,2034,645,219500
9591,344,1143,1143,2473,852,317000
19900,287,1947,2207,2207,576,180000
10665,167,1453,1479,1479,558,226000
4608,0,747,747,747,220,80000
15593,0,1304,1304,2287,667,225000
13651,1115,2223,2223,2223,516,244000
7599,0,845,845,845,360,129500
10141,40,832,885,1718,427,185000
10200,104,1086,1086,1086,490,144900
5790,0,840,840,1605,379,107400
1596,0,462,526,988,297,91000
8475,0,952,952,952,283,135750
8635,0,672,1072,1285,240,127000
10778,0,1768,1768,1768,0,136500
10440,0,440,682,1230,440,110000
13000,576,896,1182,2142,509,193500
4500,443,1237,1337,1337,405,153500
10206,468,1563,1563,1563,758,245000
8892,66,1065,1065,1065,461,126500
8530,22,384,804,1474,400,168500
16059,284,1288,1301,2417,462,260000
11911,0,684,684,1560,400,174000
3951,76,612,612,1224,528,164500
8470,0,1013,1013,1526,0,85000
8070,0,990,990,990,0,123600
7200,0,0,1040,1040,420,109900
8500,203,1235,1235,1235,480,98600
13360,0,876,964,964,432,163500
7200,0,1214,1260,2291,506,133900
9337,0,824,905,1786,684,204750
9765,68,680,680,1470,420,185000
10264,183,1588,1588,1588,472,214000
10921,48,960,960,960,432,94750
10625,0,458,835,835,366,83000
9320,0,950,1225,1225,0,128950
10603,28,1610,1610,1610,480,205000
9206,336,741,977,1732,476,178000
7018,0,0,1535,1535,410,118964
10402,0,1226,1226,1226,740,198900
7758,600,1040,1226,1818,240,169500
9375,768,1053,1053,1992,648,250000
10800,0,641,1047,1047,273,100000
6000,0,789,789,789,250,115000
8500,0,793,997,1517,0,115000
11751,480,1844,1844,1844,546,190000
9525,0,994,1216,1855,325,136900
7750,0,384,774,1430,400,180000
9965,220,1264,1282,2696,792,383970
21000,184,1809,2259,2259,450,217000
7259,0,1028,1436,2320,180,259500
3230,1129,729,729,1458,440,176000
11616,116,1092,1092,1092,288,139000
8536,0,1125,1125,1125,430,155000
12376,0,1673,1699,3222,594,320000
8461,0,728,728,1456,390,163990
21453,0,938,988,988,540,180000
6060,0,732,772,1123,264,100000
9464,135,1080,1080,1080,288,136000
